"","id","user_id","address_final","lat","lng","loc_type"
"1",4695990,21822,"台北市大安區安和路二段","25.0292014","121.5510917","GEOMETRIC_CENTER"
"2",4758413,1955665,"台北市中正區南昌路二段2巷188號","25.0243760","121.5239496","ROOFTOP"
"3",4758414,1955665,"台北市松山區南京東路三段303巷6弄8號","25.0523260","121.5474377","ROOFTOP"
"4",4726498,831230,"台北市信義區忠孝東路五段238號","25.0407580","121.5720330","ROOFTOP"
"5",4720903,151396,"台北市松山區民生東路四段80巷","25.0572220","121.5530469","GEOMETRIC_CENTER"
"6",4754619,1299518,"台北市中山區吉林路258號","25.0601734","121.5300650","ROOFTOP"
"7",4724463,1526803,"台北市中正區忠孝西路一段","25.0466888","121.5158054","GEOMETRIC_CENTER"
"8",4715898,389246,"台北市信義區吳興街269巷","25.0271674","121.5644866","GEOMETRIC_CENTER"
"9",4722937,244300,"台北市中山區復興北路320巷21號","25.0595224","121.5426042","ROOFTOP"
"10",4698882,673496,"台北市信義區基隆路二段179號","25.0250678","121.5537167","ROOFTOP"
"11",4734588,1058900,"台北市中山區大直街67巷","25.0837401","121.5476000","GEOMETRIC_CENTER"
"12",4691742,1558173,"台北市中正區西藏路","25.0303502","121.5059620","GEOMETRIC_CENTER"
"13",4748476,1073536,"台北市北投區吉利街320巷","25.1175279","121.5113657","GEOMETRIC_CENTER"
"14",4693930,517450,"台北市信義區文昌街","25.0321716","121.5579880","GEOMETRIC_CENTER"
"15",4732719,713487,"台北市松山區南京東路三段256巷","25.0502060","121.5447061","GEOMETRIC_CENTER"
"16",4664208,517450,"台北市大安區通化街38巷","25.0309229","121.5536512","GEOMETRIC_CENTER"
"17",4734582,97975,"台北市內湖區康樂街","25.0833832","121.6240522","GEOMETRIC_CENTER"
"18",4715956,1077174,"台北市松山區塔悠路27號","25.0505060","121.5716494","RANGE_INTERPOLATED"
"19",4695088,85910,"台北市中山區民生東路二段147巷","25.0591962","121.5348202","GEOMETRIC_CENTER"
"20",4698864,673496,"台北市信義區基隆路二段177號","25.0252111","121.5538253","ROOFTOP"
"21",4709240,608450,"台北市中山區中山北路二段","25.0600389","121.5228708","GEOMETRIC_CENTER"
"22",4719180,84499,"台北市大安區通化街38巷","25.0309229","121.5536512","GEOMETRIC_CENTER"
"23",4728809,1519349,"台北市信義區忠孝東路五段","25.0410009","121.5732799","GEOMETRIC_CENTER"
"24",4744190,1522712,"台北市北投區豐年路一段","25.1341267","121.4975483","GEOMETRIC_CENTER"
"25",4757290,1991063,"台北市中山區南京東路二段7號","25.0523127","121.5282421","ROOFTOP"
"26",4428921,1778562,"台北市士林區小東街20號","25.0890736","121.5262134","ROOFTOP"
"27",4753863,1062366,"台北市中山區林森北路121號","25.0508214","121.5251558","ROOFTOP"
"28",4646024,1517370,"台北市松山區八德路四段91巷","25.0491058","121.5608426","GEOMETRIC_CENTER"
"29",4740154,236887,"台北市中山區中山北路三段32號","25.0654654","121.5219987","ROOFTOP"
"30",4695052,1957304,"台北市大安區通化街171巷","25.0277447","121.5548697","GEOMETRIC_CENTER"
"31",4727480,921393,"台北市大安區忠孝東路三段","25.0417726","121.5382163","GEOMETRIC_CENTER"
"32",4738675,21822,"台北市大安區光復南路","25.0375222","121.5575103","GEOMETRIC_CENTER"
"33",2399891,211154,"台北市信義區吳興街506巷","25.0229980","121.5686452","GEOMETRIC_CENTER"
"34",4719878,583697,"台北市內湖區康樂街186巷","25.0767740","121.6202345","GEOMETRIC_CENTER"
"35",4435871,1089389,"台北市松山區復興北路","25.0570354","121.5442581","GEOMETRIC_CENTER"
"36",4710438,151554,"台北市文山區政大一街171號","24.9856654","121.5840389","GEOMETRIC_CENTER"
"37",4677941,1831620,"台北市士林區天母西路41巷","25.1190482","121.5273928","GEOMETRIC_CENTER"
"38",4735810,16183,"台北市中正區汀州路","","",""
"39",4733002,55999,"台北市士林區士東路","25.1127719","121.5335525","GEOMETRIC_CENTER"
"40",4555841,46830,"台北市北投區石牌路二段332號","25.1223120","121.5243400","ROOFTOP"
"41",4687829,1072936,"台北市中正區泉州街4號","25.0293220","121.5141900","ROOFTOP"
"42",4746542,846055,"台北市南港區成福路194巷","25.0408487","121.5878482","GEOMETRIC_CENTER"
"43",4726421,1512240,"台北市萬華區大理街159巷","25.0346714","121.4958879","GEOMETRIC_CENTER"
"44",4741398,1136739,"台北市松山區八德路三段12巷5弄22號","25.0474938","121.5512386","ROOFTOP"
"45",4712312,1099759,"台北市士林區大東路","25.0900200","121.5255254","GEOMETRIC_CENTER"
"46",4684800,933715,"台北市中山區新生北路三段","25.0669084","121.5279958","GEOMETRIC_CENTER"
"47",4753904,1209302,"台北市大安區金山南路二段141巷36號","25.0292920","121.5282380","ROOFTOP"
"48",4698810,517450,"台北市大安區仁愛路三段123巷","25.0394585","121.5420014","GEOMETRIC_CENTER"
"49",4602995,1028032,"台北市大同區萬全街","25.0584265","121.5181058","GEOMETRIC_CENTER"
"50",4736824,1138412,"台北市中正區泰安街6巷8號","25.0401475","121.5274302","ROOFTOP"
"51",4721338,757095,"台北市中山區中山北路二段72巷","25.0570470","121.5227027","GEOMETRIC_CENTER"
"52",4698461,1708152,"台北市大安區永康街4巷","25.0329245","121.5298214","GEOMETRIC_CENTER"
"53",4688436,214303,"台北市大同區華陰街","25.0499652","121.5166581","GEOMETRIC_CENTER"
"54",4733085,1988711,"台北市中山區民權東路二段","25.0625987","121.5325610","GEOMETRIC_CENTER"
"55",4716820,546895,"台北市中山區敬業一路","25.0819462","121.5525618","GEOMETRIC_CENTER"
"56",4716839,645827,"台北市士林區重慶北路四段72號","25.0819410","121.5131230","ROOFTOP"
"57",4717635,27453,"台北市士林區延平北路五段163巷17弄1號","25.0826319","121.5095278","ROOFTOP"
"58",4672805,637825,"台北市士林區中庸一路","25.1325220","121.5506819","GEOMETRIC_CENTER"
"59",4721113,1855863,"台北市信義區信義路六段30號","25.0341439","121.5756410","ROOFTOP"
"60",4736115,603368,"台北市中山區民權東路二段152巷5弄2號","25.0612962","121.5346230","ROOFTOP"
"61",4675741,1323924,"台北市大安區樂利路27巷","25.0275821","121.5518838","GEOMETRIC_CENTER"
"62",4664049,19223,"台北市信義區林口街24巷23號","25.0378495","121.5802354","ROOFTOP"
"63",4696770,1134565,"台北市萬華區西寧南路","25.0432344","121.5060751","GEOMETRIC_CENTER"
"64",4521433,159619,"台北市大安區仁愛路四段345巷2弄7號","25.0385558","121.5537025","ROOFTOP"
"65",4741976,27453,"台北市士林區社中街414號","25.0920237","121.5028129","ROOFTOP"
"66",4714153,16628,"台北市松山區塔悠路","","",""
"67",4701883,652029,"台北市北投區東華街一段486巷","25.1126611","121.5178241","GEOMETRIC_CENTER"
"68",4748878,1463203,"台北市中正區同安街30巷","25.0244497","121.5213414","GEOMETRIC_CENTER"
"69",4695450,1349525,"台北市大安區光復南路","25.0375222","121.5575103","GEOMETRIC_CENTER"
"70",4704792,223417,"台北市內湖區康樂街186巷","25.0767740","121.6202345","GEOMETRIC_CENTER"
"71",4717456,1815228,"台北市北投區承德路七段106巷","25.1123026","121.5103297","GEOMETRIC_CENTER"
"72",4751314,84771,"台北市大安區敦化南路160巷","","",""
"73",4693198,1997034,"台北市士林區士東路266巷16弄12號","25.1115919","121.5359791","ROOFTOP"
"74",4754895,956681,"台北市松山區松山路272號","25.0436410","121.5774260","ROOFTOP"
"75",4585101,69614,"台北市松山區松河街","25.0510704","121.5751887","GEOMETRIC_CENTER"
"76",4628756,25374,"台北市大安區和平東路三段606巷51號","25.0248475","121.5480644","ROOFTOP"
"77",4710776,396535,"台北市松山區民生東路五段137巷4弄20號","25.0597315","121.5624980","ROOFTOP"
"78",4753156,413312,"台北市松山區南京東路四段133巷","25.0526889","121.5551507","GEOMETRIC_CENTER"
"79",4602810,1350227,"台北市萬華區武昌街二段","25.0450067","121.5056721","GEOMETRIC_CENTER"
"80",4744872,1343025,"台北市大安區四維路76巷","25.0342725","121.5471942","GEOMETRIC_CENTER"
"81",4676245,405105,"台北市士林區小北街22巷12號","25.0911450","121.5250630","ROOFTOP"
"82",4613749,1350227,"台北市中山區錦西街","25.0603312","121.5214358","GEOMETRIC_CENTER"
"83",4602771,1350227,"台北市中山區林森北路107巷","25.0499431","121.5267074","GEOMETRIC_CENTER"
"84",4730391,419107,"台北市中正區汀州路一段","25.0289430","121.5085466","GEOMETRIC_CENTER"
"85",4697921,1939042,"台北市大同區華亭街","25.0529393","121.5131977","GEOMETRIC_CENTER"
"86",4602781,1350227,"台北市大安區基隆路二段","25.0237191","121.5517406","GEOMETRIC_CENTER"
"87",4602777,1350227,"台北市中山區中山北路一段96巷","25.0496810","121.5206035","GEOMETRIC_CENTER"
"88",4705572,556639,"台北市松山區南京東路五段","25.0514899","121.5639560","GEOMETRIC_CENTER"
"89",4733648,115395,"台北市中山區建國北路一段","25.0486976","121.5364946","GEOMETRIC_CENTER"
"90",4693004,677556,"台北市南港區市民大道七段","25.0506876","121.5902044","GEOMETRIC_CENTER"
"91",4704061,1423155,"台北市大同區延平北路四段12號","25.0690811","121.5108002","ROOFTOP"
"92",4602760,1350227,"台北市萬華區成都路","25.0431413","121.5044233","GEOMETRIC_CENTER"
"93",4725343,596562,"台北市信義區松勤街9號","25.0321868","121.5611810","ROOFTOP"
"94",4738675,21822,"台北市大安區光復南路","25.0375222","121.5575103","GEOMETRIC_CENTER"
"95",4729226,971560,"台北市北投區石牌路二段315巷","25.1232966","121.5218438","GEOMETRIC_CENTER"
"96",4706881,524310,"台北市士林區至善路二段","25.1027630","121.5531678","GEOMETRIC_CENTER"
"97",4591687,1350227,"台北市信義區光復南路505號","25.0320723","121.5576394","ROOFTOP"
"98",4694727,457100,"台北市大安區大安路一段84巷","25.0409700","121.5452310","GEOMETRIC_CENTER"
"99",4675558,12839,"台北市萬華區西園路二段362號","25.0254086","121.4916001","ROOFTOP"
"100",4743665,2004873,"台北市中山區長春路137巷3號","25.0554389","121.5316474","ROOFTOP"
"101",4742432,1712462,"台北市信義區莊敬路202號","25.0304208","121.5613429","ROOFTOP"
"102",4733204,135695,"台北市松山區八德路三段199巷","25.0490535","121.5563318","GEOMETRIC_CENTER"
"103",4756807,151616,"台北市松山區民權東路三段103巷33號","25.0639472","121.5451741","ROOFTOP"
"104",3825321,1490695,"台北市松山區八德路四段","25.0493187","121.5688828","GEOMETRIC_CENTER"
"105",4746751,2005291,"台北市萬華區康定路105號","25.0394756","121.5020431","ROOFTOP"
"106",4727143,101764,"台北市大安區復興南路二段","25.0273218","121.5435743","GEOMETRIC_CENTER"
"107",4744103,517450,"台北市大安區通化街38巷","25.0309229","121.5536512","GEOMETRIC_CENTER"
"108",4668855,517450,"台北市大安區復興南路一段","25.0390336","121.5436340","GEOMETRIC_CENTER"
"109",4703134,1809823,"台北市信義區吳興街284巷","25.0242317","121.5635727","GEOMETRIC_CENTER"
"110",4687869,1344429,"台北市中正區臨沂街75巷","25.0346353","121.5289666","GEOMETRIC_CENTER"
"111",4698618,1708152,"台北市大安區瑞安街208巷","25.0294923","121.5405520","GEOMETRIC_CENTER"
"112",4717903,352332,"台北市大安區羅斯福路三段","25.0205098","121.5285157","GEOMETRIC_CENTER"
"113",4753484,150717,"台北市中山區中山北路二段115巷","25.0608948","121.5242866","GEOMETRIC_CENTER"
"114",4704848,1201583,"台北市士林區大南路27號","25.0890822","121.5256318","ROOFTOP"
"115",4679084,846055,"台北市南港區忠孝東路六段","25.0492267","121.5890952","GEOMETRIC_CENTER"
"116",4706171,96589,"台北市內湖區民權東路六段","25.0690883","121.5892020","GEOMETRIC_CENTER"
"117",4646052,1853921,"台北市南港區重陽路","25.0578851","121.6053454","GEOMETRIC_CENTER"
"118",4688683,1669983,"台北市萬華區西園路一段","25.0367630","121.4993775","GEOMETRIC_CENTER"
"119",4705881,221811,"台北市信義區吳興街284巷26-1號","25.0236869","121.5633310","ROOFTOP"
"120",4681910,1449351,"台北市內湖區成功路二段","25.0690078","121.5914146","GEOMETRIC_CENTER"
"121",4617489,1866289,"台北市大同區重慶北路二段114巷13號","25.0576570","121.5131280","ROOFTOP"
"122",4654803,1866289,"台北市中正區廈門街123巷10-1號","25.0229222","121.5181195","ROOFTOP"
"123",4702652,1064254,"台北市內湖區新明路","25.0565838","121.5837421","GEOMETRIC_CENTER"
"124",4754650,341615,"台北市大同區市民大道","25.0499926","121.5109926","GEOMETRIC_CENTER"
"125",4695990,21822,"台北市大安區安和路二段","25.0292014","121.5510917","GEOMETRIC_CENTER"
"126",4617479,1866289,"台北市中正區延平北路一段69巷13號","25.0515406","121.5127154","ROOFTOP"
"127",4692610,308582,"台北市中山區林森北路","25.0581791","121.5255125","GEOMETRIC_CENTER"
"128",4734240,1866289,"台北市大同區重慶北路二段114巷13號","25.0576570","121.5131280","ROOFTOP"
"129",4617478,1866289,"台北市大同區延平北路一段69巷13號","25.0515406","121.5127154","ROOFTOP"
"130",4751613,1023565,"台北市文山區興隆路三段221巷","24.9941344","121.5607944","GEOMETRIC_CENTER"
"131",4725547,1257210,"台北市中山區中山北路一段53巷","25.0490872","121.5227004","GEOMETRIC_CENTER"
"132",4696066,1088768,"台北市松山區八德路四段636號","25.0497714","121.5744782","ROOFTOP"
"133",4701395,148501,"台北市中山區八德路二段158號","25.0461039","121.5377235","ROOFTOP"
"134",4724657,148501,"台北市士林區忠誠路二段207巷6號","25.1085598","121.5301646","ROOFTOP"
